DEL,ID,Smiles
CHEMBL,CHEMBL2435028,COP(=O)(OC)C(O)[C@H](CC1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1
CHEMBL,CHEMBL3360035,O=C(Cc1ccccc1F)n1sc2ccccc2c1=O
CHEMBL,CHEMBL1860735,CCCCCC(C)NCc1coc(-c2cccc(F)c2F)n1
CHEMBL,CHEMBL1233489,O=C1[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
CHEMBL,CHEMBL3087091,Cc1cc(C)nc(N2N=C(c3ccccc3)C[C@@]2(O)C(F)(F)F)n1
CHEMBL,CHEMBL513608,CN(C)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12
CHEMBL,CHEMBL488698,O=C1OC(CO)(COC(=O)C(c2ccccc2)c2ccccc2)C/C1=C/c1ccc(F)cc1
CHEMBL,CHEMBL237938,O=C1CC(c2cccc(C(=O)N3CCOCC3)c2)=Nc2ccc(C#Cc3ccccc3)cc2N1
CHEMBL,CHEMBL1508117,Cc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1CNC(=O)NC1CCCCC1
CHEMBL,CHEMBL335347,N=C(N)Nc1cccc(C(=O)NNC(=O)N[C@H](CC(=O)O)C(N)=O)c1
CHEMBL,CHEMBL403740,CC(=O)N1C2CCC1CC(CN1CCC(NC(=O)Nc3cc(F)cc(C(F)(F)F)c3)CC1)C2
CHEMBL,CHEMBL1457956,O=C(Nc1cccc2ccccc12)/C(=C/c1cccc([N+](=O)[O-])c1)NC(=O)c1cccs1
CHEMBL,CHEMBL1600716,CCOc1cccc2sc(Cl)nc12
CHEMBL,CHEMBL4129977,CCOC(=O)c1ccc(N2C(=O)C(O)=C(C(=O)c3ccccc3)C2c2ccccc2)cc1
CHEMBL,CHEMBL4079967,CCN(CC)Cc1ccc(-c2ncc(-c3ccc(OCC=C(C)C)cc3)o2)nc1
CHEMBL,CHEMBL184555,COc1cc2ncnc(Nc3cc(NC(=O)c4ccccc4)ccc3C)c2cc1OC
CHEMBL,CHEMBL1717001,CCOCCCNC(=O)c1ccc(NC(=O)C2=CSCCO2)cc1
CHEMBL,CHEMBL3198864,COc1ccc(/C=C\C(=O)NCC(=O)N/N=C/c2cccc(OC)c2O)cc1
CHEMBL,CHEMBL289367,Cc1cc(OCCCON=C(N)N)cc(OS(=O)(=O)c2cccc3c2NCCC3)c1
CHEMBL,CHEMBL530543,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Cl)c(C(F)(F)F)c1
CHEMBL,CHEMBL2180134,C/N=C1/SCC(=O)N1Cc1c2ccccc2nc2ccccc12
CHEMBL,CHEMBL1317825,COc1ccc(-c2cc(C(F)(F)F)n3nc(C(=O)Nc4ccccc4SC)cc3n2)cc1OC
CHEMBL,CHEMBL1361678,Cc1ccc(CCNC(=O)c2cc(S(=O)(=O)N3CCCCC3)c[nH]2)cc1
CHEMBL,CHEMBL3918360,N#Cc1cccc(Nc2cccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)c2)c1
CHEMBL,CHEMBL63864,c1cncc(C2=NCC(c3cccc(OCc4ccc5ccccc5n4)c3)O2)c1
CHEMBL,CHEMBL395303,CCc1ccc2c(c1)C(=O)c1c-2n(CCCBr)c(=O)c2cc([N+](=O)[O-])ccc12
CHEMBL,CHEMBL1482868,Cc1nc2ccccc2n1S(=O)(=O)c1ccc(S(=O)(=O)N2CCCCCC2)cc1
CHEMBL,CHEMBL1708574,Cc1c(C)c([N+](=O)[O-])c(C)c(C)c1N
CHEMBL,CHEMBL1553724,COc1ccc(-c2cc(C(=O)Nc3c(C)nn(Cc4ccc(C)cc4)c3C)no2)cc1OC
CHEMBL,CHEMBL1760886,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@@H]3CCN(C(=O)c4cccc(C(F)(F)F)c4)C3)sc12
CHEMBL,CHEMBL359168,C[C@@H](O)c1nccc(N2CCN(c3cnc4ccccc4n3)CC2)n1
