Smiles,ID
CNC(=O)[C@H]1CNC[C@@H]1c1ccsc1,B80dna
CNC(=O)[C@H](N)CN(C)C,B81dna
CNC(=O)[C@@H](N)Cn1cccn1,B82dna
CNC(=O)C[C@H](N)C(N)=O,B83dna
CNC(=O)[C@H](N)C1CCCC1,B84dna
CNC(=O)[C@@H](N)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,B85dna
CNC(=O)[C@H]1C[C@H](N)CN1C,B86dna
CNC(=O)[C@H]1CCCNCC1,B87dna
CNC(=O)C1(C2CC2)CCNCC1,B88dna
CNC(=O)C1(C2CCCCC2)CCNCC1,B89dna
CNC(=O)[C@@H](N)c1cccs1,B90dna
CNC(=O)C[C@H](N)c1ccco1,B91dna
CNC(=O)[C@H]1NCCO[C@@H]1C,B92dna
CNC(=O)[C@H]1NC(C)(C)O[C@@H]1C,B93dna
CNC(=O)C[C@@H]1CNCCO1,B94dna
CNC(=O)CC1(OC)CNC1,B95dna
CNC(=O)c1ccc(CN)o1,B96dna
CNC(=O)[C@@H]1CO[C@H](CN)C1,B97dna
CNC(=O)[C@@H](N)Cc1cscn1,B98dna
CNC(=O)[C@@H](N)Cc1c[nH]cn1,B99dna
CNC(=O)[C@H](N)Cc1cn(C)cn1,B100dna
CNC(=O)[C@H](N)Cc1cn(Cc2ccccc2)cn1,B101dna
CNC(=O)c1cccc(CN)c1,B102dna
CNC(=O)c1ccc(CN)cc1,B103dna
CNC(=O)COc1cccc(CN)c1,B104dna
CNC(=O)c1ccccc1CN,B105dna
CNC(=O)[C@@H](O)[C@@H](N)CC(C)C,B106dna
CNC(=O)C[C@H](O)[C@@H](N)CC1CCCCC1,B107dna
CNC(=O)c1ccc2c(c1)CNC2,B108dna
CNC(=O)[C@@](C)(N)c1cccnc1,B109dna
CNC(=O)[C@H](N)c1ccccc1OC,B110dna
CNC(=O)[C@@H](N)Cc1ccncc1,B111dna
CNC(=O)[C@H](N)Cc1ccccn1,B112dna
